PLSCT00000016654	InterPro:IPR003817,InterPro:IPR033177
PLSCT00000010899	InterPro:IPR019340
PLSCT00000013725	InterPro:IPR021099
PLSCT00000011759	InterPro:IPR000719,InterPro:IPR011009,InterPro:IPR017441
PLSCT00000018292	InterPro:IPR004413,InterPro:IPR006075,InterPro:IPR017958,InterPro:IPR017959
PLSCT00000005091	InterPro:IPR002048,InterPro:IPR011992,InterPro:IPR018247
PLSCT00000007016	InterPro:IPR003137,InterPro:IPR006639,InterPro:IPR007369
PLSCT00000002959	InterPro:IPR000271
PLSCT00000004626	InterPro:IPR001841,InterPro:IPR004331,InterPro:IPR013083,InterPro:IPR017907,InterPro:IPR027370,InterPro:IPR033326
PLSCT00000010811	InterPro:IPR000368,InterPro:IPR001296,InterPro:IPR012820
PLSCT00000017776	InterPro:IPR005576,InterPro:IPR013238
PLSCT00000006646	InterPro:IPR001926
PLSCT00000017637	InterPro:IPR013221
PLSCT00000014274	InterPro:IPR004853
PLSCT00000002273	InterPro:IPR001382
PLSCT00000002292	InterPro:IPR000073,InterPro:IPR029058
PLSCT00000016305	InterPro:IPR001611,InterPro:IPR006553,InterPro:IPR032675
PLSCT00000013317	InterPro:IPR001005,InterPro:IPR006447,InterPro:IPR009057,InterPro:IPR017930
PLSCT00000020901	InterPro:IPR024095
PLSCT00000017362	InterPro:IPR006539,InterPro:IPR008250
PLSCT00000015309	InterPro:IPR002963,InterPro:IPR007112,InterPro:IPR007117,InterPro:IPR007118,InterPro:IPR009009
PLSCT00000011026	InterPro:IPR000340,InterPro:IPR000387,InterPro:IPR016130,InterPro:IPR020422,InterPro:IPR024950,InterPro:IPR029021
PLSCT00000004285	InterPro:IPR001917,InterPro:IPR004839,InterPro:IPR015421,InterPro:IPR015424
PLSCT00000020481	InterPro:IPR013537
PLSCT00000010227	InterPro:IPR002035,InterPro:IPR006896,InterPro:IPR006900,InterPro:IPR007123,InterPro:IPR012990,InterPro:IPR029006
PLSCT00000016682	InterPro:IPR003100,InterPro:IPR014811,InterPro:IPR032474
PLSCT00000009358	InterPro:IPR001180
PLSCT00000007298	InterPro:IPR006708
PLSCT00000015525	InterPro:IPR002035,InterPro:IPR004166,InterPro:IPR011009
PLSCT00000020124	InterPro:IPR013626
PLSCT00000003947	InterPro:IPR000719,InterPro:IPR004147,InterPro:IPR011009
PLSCT00000009720	InterPro:IPR000823,InterPro:IPR002016,InterPro:IPR010255,InterPro:IPR019794,InterPro:IPR033905
PLSCT00000004151	InterPro:IPR000403,InterPro:IPR011009,InterPro:IPR015433,InterPro:IPR018936
PLSCT00000014152	InterPro:IPR000131
PLSCT00000006710	InterPro:IPR000558,InterPro:IPR007125,InterPro:IPR009072
PLSCT00000012577	InterPro:IPR006634
PLSCT00000000807	InterPro:IPR000008
PLSCT00000014576	InterPro:IPR000741,InterPro:IPR013785
PLSCT00000010689	InterPro:IPR001763
PLSCT00000016433	InterPro:IPR000719,InterPro:IPR001261,InterPro:IPR002933,InterPro:IPR008271,InterPro:IPR010159,InterPro:IPR011009,InterPro:IPR011650,InterPro:IPR013320,InterPro:IPR017441
PLSCT00000005687	InterPro:IPR029021
PLSCT00000014958	InterPro:IPR011009,InterPro:IPR016477
PLSCT00000019600	InterPro:IPR003834
PLSCT00000001476	InterPro:IPR000504,InterPro:IPR012677,InterPro:IPR033110
PLSCT00000020754	InterPro:IPR006689,InterPro:IPR027417
PLSCT00000016748	InterPro:IPR005024
PLSCT00000011691	InterPro:IPR005378,InterPro:IPR016024
PLSCT00000000619	InterPro:IPR019378
PLSCT00000015647	InterPro:IPR004240,InterPro:IPR020846
PLSCT00000004248	InterPro:IPR004304
PLSCT00000010862	InterPro:IPR013057
PLSCT00000011913	InterPro:IPR002713
PLSCT00000002452	InterPro:IPR000560,InterPro:IPR029033
PLSCT00000003031	InterPro:IPR001806,InterPro:IPR002048,InterPro:IPR011992,InterPro:IPR013566,InterPro:IPR013567,InterPro:IPR018247,InterPro:IPR020860,InterPro:IPR021181,InterPro:IPR027417
PLSCT00000019139	InterPro:IPR001077,InterPro:IPR011991,InterPro:IPR012967,InterPro:IPR016461,InterPro:IPR029063
PLSCT00000014557	InterPro:IPR004263
PLSCT00000018003	InterPro:IPR000206,InterPro:IPR008932,InterPro:IPR013823,InterPro:IPR014719
PLSCT00000012623	InterPro:IPR002110,InterPro:IPR020683
PLSCT00000018508	InterPro:IPR026894
PLSCT00000018220	InterPro:IPR004294
PLSCT00000015886	InterPro:IPR001128,InterPro:IPR002401,InterPro:IPR017972
PLSCT00000015988	InterPro:IPR001697,InterPro:IPR011037,InterPro:IPR015793,InterPro:IPR015794,InterPro:IPR015795,InterPro:IPR015806,InterPro:IPR015813,InterPro:IPR018209
PLSCT00000015671	InterPro:IPR002610,InterPro:IPR022764
PLSCT00000000753	InterPro:IPR003029,InterPro:IPR011488
PLSCT00000017018	InterPro:IPR002625,InterPro:IPR002885,InterPro:IPR011990
PLSCT00000015379	InterPro:IPR002778
PLSCT00000007539	InterPro:IPR000504,InterPro:IPR009145,InterPro:IPR012677
PLSCT00000007302	InterPro:IPR003690
PLSCT00000007431	InterPro:IPR002110,InterPro:IPR007087,InterPro:IPR020683
PLSCT00000002227	InterPro:IPR000730,InterPro:IPR022648,InterPro:IPR022649,InterPro:IPR022659
PLSCT00000002282	InterPro:IPR019312
PLSCT00000015268	InterPro:IPR000595,InterPro:IPR014710,InterPro:IPR018488,InterPro:IPR018490
PLSCT00000002977	InterPro:IPR001005,InterPro:IPR009057,InterPro:IPR017930
PLSCT00000010715	InterPro:IPR000289,InterPro:IPR012340,InterPro:IPR028626
PLSCT00000006850	InterPro:IPR000109,InterPro:IPR020846
PLSCT00000021073	InterPro:IPR001471,InterPro:IPR016177
PLSCT00000018941	InterPro:IPR000009,InterPro:IPR001680,InterPro:IPR015943,InterPro:IPR017986,InterPro:IPR018067
PLSCT00000009785	InterPro:IPR002110,InterPro:IPR020683
PLSCT00000010207	InterPro:IPR006779
PLSCT00000006853	InterPro:IPR001680,InterPro:IPR011047,InterPro:IPR015943,InterPro:IPR017986,InterPro:IPR019775,InterPro:IPR020472
PLSCT00000018297	InterPro:IPR007312
PLSCT00000017774	InterPro:IPR032675
PLSCT00000019403	InterPro:IPR012336
PLSCT00000001648	InterPro:IPR000504,InterPro:IPR012677,InterPro:IPR012921
PLSCT00000010780	InterPro:IPR013057
PLSCT00000007209	InterPro:IPR000195
PLSCT00000009600	InterPro:IPR000674,InterPro:IPR002346,InterPro:IPR005107,InterPro:IPR008274,InterPro:IPR016166,InterPro:IPR016167,InterPro:IPR016169
PLSCT00000017880	InterPro:IPR027443
PLSCT00000009086	InterPro:IPR005339
PLSCT00000016538	InterPro:IPR006461
PLSCT00000019621	InterPro:IPR000426,InterPro:IPR001353,InterPro:IPR029055
PLSCT00000005100	InterPro:IPR000569
PLSCT00000011492	InterPro:IPR001623
PLSCT00000008547	InterPro:IPR005516
PLSCT00000009205	InterPro:IPR006767,InterPro:IPR006768,InterPro:IPR011146
PLSCT00000005747	InterPro:IPR023753
PLSCT00000006523	InterPro:IPR015679
PLSCT00000012945	InterPro:IPR013176
PLSCT00000009408	InterPro:IPR007603
PLSCT00000004361	InterPro:IPR020067,InterPro:IPR024338
PLSCT00000018239	InterPro:IPR003440,InterPro:IPR026899
PLSCT00000015095	InterPro:IPR019410,InterPro:IPR029063
PLSCT00000004131	InterPro:IPR001129,InterPro:IPR023352
PLSCT00000019037	InterPro:IPR007271
PLSCT00000000627	InterPro:IPR012349
PLSCT00000013550	InterPro:IPR001680,InterPro:IPR015943,InterPro:IPR017986
PLSCT00000008194	InterPro:IPR003439,InterPro:IPR027417
PLSCT00000015121	InterPro:IPR003397
PLSCT00000004643	InterPro:IPR005522
PLSCT00000001903	InterPro:IPR007271
PLSCT00000018164	InterPro:IPR001680,InterPro:IPR013923,InterPro:IPR015943,InterPro:IPR017986,InterPro:IPR019775
PLSCT00000020690	InterPro:IPR001404,InterPro:IPR003594,InterPro:IPR019805,InterPro:IPR020575
PLSCT00000001450	InterPro:IPR001375,InterPro:IPR002470,InterPro:IPR023302,InterPro:IPR029058
PLSCT00000002906	InterPro:IPR001171,InterPro:IPR018083
PLSCT00000021289	InterPro:IPR026171,InterPro:IPR029308,InterPro:IPR029310
PLSCT00000002836	InterPro:IPR010402
PLSCT00000004052	InterPro:IPR001296,InterPro:IPR011835,InterPro:IPR013534
PLSCT00000004387	InterPro:IPR002085,InterPro:IPR011032,InterPro:IPR013149,InterPro:IPR013154,InterPro:IPR014189,InterPro:IPR016040,InterPro:IPR020843
PLSCT00000016068	InterPro:IPR019616
PLSCT00000008621	InterPro:IPR001929,InterPro:IPR006045,InterPro:IPR011051,InterPro:IPR014710
PLSCT00000018446	InterPro:IPR019378
PLSCT00000019607	InterPro:IPR019474
PLSCT00000005216	InterPro:IPR016024,InterPro:IPR022145
PLSCT00000004913	InterPro:IPR001305
PLSCT00000011697	InterPro:IPR029063
PLSCT00000007907	InterPro:IPR007235,InterPro:IPR009695
PLSCT00000004114	InterPro:IPR001375,InterPro:IPR002470,InterPro:IPR029058
PLSCT00000017890	InterPro:IPR002225,InterPro:IPR016040
PLSCT00000018117	InterPro:IPR001680,InterPro:IPR015943,InterPro:IPR017986,InterPro:IPR019775
PLSCT00000007567	InterPro:IPR000422,InterPro:IPR017945
PLSCT00000015885	InterPro:IPR001680,InterPro:IPR015943,InterPro:IPR017986,InterPro:IPR019775
PLSCT00000010356	InterPro:IPR001305
PLSCT00000009247	InterPro:IPR001757,InterPro:IPR006539,InterPro:IPR008250,InterPro:IPR018303,InterPro:IPR023214,InterPro:IPR023299,InterPro:IPR032630,InterPro:IPR032631
PLSCT00000006070	InterPro:IPR000073,InterPro:IPR000639,InterPro:IPR029058
PLSCT00000003756	InterPro:IPR002885,InterPro:IPR011990
PLSCT00000020840	InterPro:IPR018962
PLSCT00000009214	InterPro:IPR003689
PLSCT00000018320	InterPro:IPR006785,InterPro:IPR025655
PLSCT00000003633	InterPro:IPR000804,InterPro:IPR011012,InterPro:IPR016635,InterPro:IPR022775,InterPro:IPR027155
PLSCT00000014954	InterPro:IPR001344,InterPro:IPR022796,InterPro:IPR023329
PLSCT00000014908	InterPro:IPR003100,InterPro:IPR014811,InterPro:IPR032474
PLSCT00000009621	InterPro:IPR004130,InterPro:IPR027417,InterPro:IPR030228
PLSCT00000007045	InterPro:IPR021511
PLSCT00000020483	InterPro:IPR000727,InterPro:IPR004045,InterPro:IPR006011,InterPro:IPR006012,InterPro:IPR010989,InterPro:IPR012336
PLSCT00000006865	InterPro:IPR006539,InterPro:IPR008250,InterPro:IPR032631
PLSCT00000021005	InterPro:IPR010339,InterPro:IPR027238,InterPro:IPR027417
PLSCT00000013604	InterPro:IPR007474
PLSCT00000013942	InterPro:IPR015797
PLSCT00000002986	InterPro:IPR001005,InterPro:IPR006447,InterPro:IPR009057,InterPro:IPR017930
PLSCT00000021493	InterPro:IPR000304,InterPro:IPR016040,InterPro:IPR028939
PLSCT00000017110	InterPro:IPR008948,InterPro:IPR023144
PLSCT00000003856	InterPro:IPR004883
PLSCT00000002991	InterPro:IPR001395,InterPro:IPR020471,InterPro:IPR023210
PLSCT00000007394	InterPro:IPR001611,InterPro:IPR013210,InterPro:IPR032675
PLSCT00000004509	InterPro:IPR002067,InterPro:IPR018108,InterPro:IPR023395
PLSCT00000006028	InterPro:IPR011344
PLSCT00000007309	InterPro:IPR000626,InterPro:IPR009060,InterPro:IPR015940,InterPro:IPR019103,InterPro:IPR021109,InterPro:IPR029071,InterPro:IPR033322
PLSCT00000016685	InterPro:IPR009249
PLSCT00000014501	InterPro:IPR001010,InterPro:IPR002553,InterPro:IPR011989,InterPro:IPR016024
PLSCT00000012963	InterPro:IPR002085,InterPro:IPR011032,InterPro:IPR013154,InterPro:IPR016040,InterPro:IPR020843
PLSCT00000017375	InterPro:IPR003661,InterPro:IPR005467,InterPro:IPR007895
PLSCT00000017534	InterPro:IPR031127
PLSCT00000009213	InterPro:IPR003689,InterPro:IPR004698
PLSCT00000008062	InterPro:IPR000300,InterPro:IPR005135
PLSCT00000008588	InterPro:IPR007537,InterPro:IPR024956
PLSCT00000007494	InterPro:IPR015415
PLSCT00000009437	InterPro:IPR009038,InterPro:IPR015720
PLSCT00000005890	InterPro:IPR007255,InterPro:IPR016159
PLSCT00000004126	InterPro:IPR001344,InterPro:IPR022796,InterPro:IPR023329
PLSCT00000006635	InterPro:IPR000757,InterPro:IPR008264,InterPro:IPR010713,InterPro:IPR013320,InterPro:IPR016455
PLSCT00000005898	InterPro:IPR001611,InterPro:IPR013210,InterPro:IPR032675
PLSCT00000002415	InterPro:IPR000089,InterPro:IPR002930,InterPro:IPR003016,InterPro:IPR011053,InterPro:IPR017453,InterPro:IPR033753
PLSCT00000005390	InterPro:IPR000626,InterPro:IPR003107,InterPro:IPR010491,InterPro:IPR011990,InterPro:IPR013026,InterPro:IPR019734,InterPro:IPR027108,InterPro:IPR029071
PLSCT00000018477	InterPro:IPR015943,InterPro:IPR017986
PLSCT00000021561	InterPro:IPR001619,InterPro:IPR027482
PLSCT00000005251	InterPro:IPR009018
PLSCT00000009416	InterPro:IPR005018,InterPro:IPR006593,InterPro:IPR018825
PLSCT00000007491	InterPro:IPR001790,InterPro:IPR022973
PLSCT00000004441	InterPro:IPR000116,InterPro:IPR000637,InterPro:IPR017956,InterPro:IPR019023
PLSCT00000017582	InterPro:IPR004324,InterPro:IPR020846
PLSCT00000021199	InterPro:IPR010674,InterPro:IPR027417
PLSCT00000018710	InterPro:IPR002048,InterPro:IPR011992,InterPro:IPR018247
PLSCT00000007486	InterPro:IPR001005,InterPro:IPR009057,InterPro:IPR017930
PLSCT00000013028	InterPro:IPR001752,InterPro:IPR027417,InterPro:IPR027640
PLSCT00000015194	InterPro:IPR002905,InterPro:IPR029063
PLSCT00000008112	InterPro:IPR005828,InterPro:IPR020846
PLSCT00000011300	InterPro:IPR004853,InterPro:IPR029663
PLSCT00000001085	InterPro:IPR000823,InterPro:IPR002016,InterPro:IPR010255
PLSCT00000001724	InterPro:IPR003265,InterPro:IPR011257,InterPro:IPR023170
PLSCT00000009026	InterPro:IPR002495,InterPro:IPR029044,InterPro:IPR029993
PLSCT00000008101	InterPro:IPR001680,InterPro:IPR012953,InterPro:IPR015943,InterPro:IPR017986,InterPro:IPR019775
PLSCT00000019408	InterPro:IPR000504,InterPro:IPR012677
PLSCT00000019164	InterPro:IPR012336
PLSCT00000002150	InterPro:IPR011032,InterPro:IPR020818
PLSCT00000011584	InterPro:IPR002773,InterPro:IPR029035
PLSCT00000016315	InterPro:IPR002933,InterPro:IPR010159,InterPro:IPR011650
PLSCT00000011490	InterPro:IPR001478
PLSCT00000006900	InterPro:IPR019269
PLSCT00000015966	InterPro:IPR004181,InterPro:IPR027229
PLSCT00000013096	InterPro:IPR000322,InterPro:IPR011013,InterPro:IPR017853,InterPro:IPR025887,InterPro:IPR031727
PLSCT00000019626	InterPro:IPR011011,InterPro:IPR013083
PLSCT00000000399	InterPro:IPR004159,InterPro:IPR029063
PLSCT00000005381	InterPro:IPR002646
PLSCT00000013789	InterPro:IPR000014,InterPro:IPR001610
PLSCT00000011474	InterPro:IPR006113,InterPro:IPR006114,InterPro:IPR006115,InterPro:IPR006183,InterPro:IPR008927,InterPro:IPR012284,InterPro:IPR013328,InterPro:IPR016040
PLSCT00000009304	InterPro:IPR001680,InterPro:IPR011047,InterPro:IPR015943
PLSCT00000005481	InterPro:IPR015422,InterPro:IPR015424
PLSCT00000020636	InterPro:IPR002885,InterPro:IPR011990
PLSCT00000003513	InterPro:IPR000719,InterPro:IPR008271,InterPro:IPR011009,InterPro:IPR013320,InterPro:IPR017441,InterPro:IPR025287
PLSCT00000006840	InterPro:IPR001841,InterPro:IPR003347,InterPro:IPR018866
PLSCT00000013503	InterPro:IPR003593,InterPro:IPR003959,InterPro:IPR003960,InterPro:IPR027417
PLSCT00000008839	InterPro:IPR001214
PLSCT00000000845	InterPro:IPR004095,InterPro:IPR012675,InterPro:IPR012676,InterPro:IPR027417,InterPro:IPR031167,InterPro:IPR031662
PLSCT00000016925	InterPro:IPR001128,InterPro:IPR002401,InterPro:IPR017972
PLSCT00000005340	InterPro:IPR026206,InterPro:IPR032733
PLSCT00000014921	InterPro:IPR005795,InterPro:IPR007112,InterPro:IPR007117,InterPro:IPR007118,InterPro:IPR009009
PLSCT00000010559	InterPro:IPR000629,InterPro:IPR001650,InterPro:IPR011545,InterPro:IPR012541,InterPro:IPR014001,InterPro:IPR014014,InterPro:IPR027417,InterPro:IPR033517
PLSCT00000011489	InterPro:IPR000608,InterPro:IPR016135,InterPro:IPR023313
PLSCT00000000822	InterPro:IPR002528
PLSCT00000001294	InterPro:IPR000719,InterPro:IPR001245,InterPro:IPR008271,InterPro:IPR011009
PLSCT00000016450	InterPro:IPR008528,InterPro:IPR014770
PLSCT00000001506	InterPro:IPR013978
PLSCT00000016693	InterPro:IPR008030,InterPro:IPR016040
PLSCT00000011876	InterPro:IPR006459,InterPro:IPR006702
PLSCT00000001473	InterPro:IPR000504,InterPro:IPR012677,InterPro:IPR033110
PLSCT00000016269	InterPro:IPR005612,InterPro:IPR027193
PLSCT00000006703	InterPro:IPR001697,InterPro:IPR011037,InterPro:IPR015793,InterPro:IPR015806,InterPro:IPR015813
PLSCT00000004686	InterPro:IPR011008,InterPro:IPR013097
PLSCT00000014897	InterPro:IPR002912,InterPro:IPR011598
PLSCT00000008769	InterPro:IPR011692
PLSCT00000010380	InterPro:IPR001593,InterPro:IPR018281,InterPro:IPR027500
PLSCT00000012412	InterPro:IPR001763
PLSCT00000004994	InterPro:IPR001732,InterPro:IPR008927,InterPro:IPR014026,InterPro:IPR014027,InterPro:IPR016040,InterPro:IPR017476,InterPro:IPR028356
PLSCT00000003724	InterPro:IPR014729,InterPro:IPR015864
PLSCT00000017989	InterPro:IPR002083,InterPro:IPR008974
PLSCT00000005818	InterPro:IPR011989,InterPro:IPR016024
PLSCT00000011030	InterPro:IPR000217,InterPro:IPR002452,InterPro:IPR003008,InterPro:IPR008280,InterPro:IPR018316,InterPro:IPR023123
PLSCT00000010548	InterPro:IPR006845,InterPro:IPR013083,InterPro:IPR017375
PLSCT00000016683	InterPro:IPR003165,InterPro:IPR012337
PLSCT00000002060	InterPro:IPR000668,InterPro:IPR013128,InterPro:IPR025661
PLSCT00000010785	InterPro:IPR000009,InterPro:IPR001680,InterPro:IPR015943,InterPro:IPR017986,InterPro:IPR018067,InterPro:IPR019775
PLSCT00000014720	InterPro:IPR000408,InterPro:IPR009091,InterPro:IPR032996
PLSCT00000009000	InterPro:IPR001680,InterPro:IPR015943,InterPro:IPR017986,InterPro:IPR019775,InterPro:IPR020472
PLSCT00000012679	InterPro:IPR000719,InterPro:IPR008271,InterPro:IPR011009
PLSCT00000006766	InterPro:IPR001792
PLSCT00000014975	InterPro:IPR025131
PLSCT00000008842	InterPro:IPR003594
PLSCT00000021523	InterPro:IPR001313,InterPro:IPR011989,InterPro:IPR012940,InterPro:IPR016024,InterPro:IPR033133
PLSCT00000005167	InterPro:IPR000719,InterPro:IPR001245,InterPro:IPR008271,InterPro:IPR011009
PLSCT00000020463	InterPro:IPR001431,InterPro:IPR011237,InterPro:IPR011249,InterPro:IPR011765
PLSCT00000003079	InterPro:IPR001279
PLSCT00000003478	InterPro:IPR009631
PLSCT00000003192	InterPro:IPR005045
PLSCT00000018187	InterPro:IPR000719,InterPro:IPR008271,InterPro:IPR011009
PLSCT00000016609	InterPro:IPR001623,InterPro:IPR011990,InterPro:IPR013026,InterPro:IPR018253,InterPro:IPR019734
PLSCT00000011068	InterPro:IPR006703,InterPro:IPR027417
PLSCT00000018980	InterPro:IPR000301,InterPro:IPR018499,InterPro:IPR018503
PLSCT00000005515	InterPro:IPR032438
PLSCT00000012665	InterPro:IPR001014,InterPro:IPR012677,InterPro:IPR012678,InterPro:IPR013025
PLSCT00000020382	InterPro:IPR006852
PLSCT00000008519	InterPro:IPR018108,InterPro:IPR023395
PLSCT00000009975	InterPro:IPR002013
PLSCT00000004481	InterPro:IPR000943,InterPro:IPR007630,InterPro:IPR011991,InterPro:IPR013324
PLSCT00000006045	InterPro:IPR001692,InterPro:IPR012131,InterPro:IPR016161
PLSCT00000019788	InterPro:IPR002060,InterPro:IPR008949
PLSCT00000010804	InterPro:IPR001251,InterPro:IPR011074
PLSCT00000000850	InterPro:IPR002659,InterPro:IPR029044
PLSCT00000011612	InterPro:IPR002048,InterPro:IPR005821,InterPro:IPR011992
PLSCT00000015236	InterPro:IPR017946
PLSCT00000018475	InterPro:IPR002048,InterPro:IPR011992,InterPro:IPR018247
PLSCT00000005948	InterPro:IPR005886,InterPro:IPR016040
PLSCT00000001175	InterPro:IPR001585,InterPro:IPR004732,InterPro:IPR013785,InterPro:IPR018225
PLSCT00000006867	InterPro:IPR001645,InterPro:IPR013221,InterPro:IPR018109,InterPro:IPR023600
PLSCT00000007313	InterPro:IPR006549,InterPro:IPR010021,InterPro:IPR023214,InterPro:IPR027706
PLSCT00000003770	InterPro:IPR025486,InterPro:IPR032795,InterPro:IPR033334
PLSCT00000000752	InterPro:IPR001471,InterPro:IPR016177
PLSCT00000006317	InterPro:IPR029069
PLSCT00000020918	InterPro:IPR030184
PLSCT00000000735	InterPro:IPR003780
PLSCT00000007097	InterPro:IPR018783
PLSCT00000012716	InterPro:IPR007235
PLSCT00000001608	InterPro:IPR006597,InterPro:IPR011990
PLSCT00000006284	InterPro:IPR001356,InterPro:IPR002913,InterPro:IPR009057,InterPro:IPR013978,InterPro:IPR023393
PLSCT00000007697	InterPro:IPR006797
PLSCT00000019170	InterPro:IPR022111
PLSCT00000002438	InterPro:IPR015414,InterPro:IPR032816
PLSCT00000020342	InterPro:IPR013126,InterPro:IPR018181
PLSCT00000009524	InterPro:IPR002110,InterPro:IPR020683
PLSCT00000004231	InterPro:IPR021275
PLSCT00000011891	InterPro:IPR019514
PLSCT00000003292	InterPro:IPR002553,InterPro:IPR009028,InterPro:IPR011989,InterPro:IPR013040,InterPro:IPR013041,InterPro:IPR015873,InterPro:IPR016024,InterPro:IPR017106,InterPro:IPR032154
PLSCT00000004847	InterPro:IPR002669
PLSCT00000014062	InterPro:IPR002836
PLSCT00000001197	InterPro:IPR019378,InterPro:IPR024709
PLSCT00000003191	InterPro:IPR000326
PLSCT00000004706	InterPro:IPR018108,InterPro:IPR023395
PLSCT00000017493	InterPro:IPR007144
PLSCT00000016931	InterPro:IPR002293
PLSCT00000021118	InterPro:IPR026057,InterPro:IPR029962
PLSCT00000002397	InterPro:IPR000705,InterPro:IPR006204,InterPro:IPR006206,InterPro:IPR013750,InterPro:IPR014721,InterPro:IPR020568
PLSCT00000006600	InterPro:IPR000980,InterPro:IPR001217,InterPro:IPR013320
PLSCT00000009697	InterPro:IPR007657
PLSCT00000004737	InterPro:IPR000073,InterPro:IPR029058
PLSCT00000014822	InterPro:IPR002190
PLSCT00000019449	InterPro:IPR001932,InterPro:IPR015655
PLSCT00000002030	InterPro:IPR005225,InterPro:IPR006689,InterPro:IPR024156,InterPro:IPR027417
PLSCT00000001389	InterPro:IPR000850,InterPro:IPR006266,InterPro:IPR027417,InterPro:IPR033690
PLSCT00000019887	InterPro:IPR013830
PLSCT00000015507	InterPro:IPR002048,InterPro:IPR011992
PLSCT00000008721	InterPro:IPR002885,InterPro:IPR011990,InterPro:IPR032867
PLSCT00000013747	InterPro:IPR004263
PLSCT00000011435	InterPro:IPR026736
PLSCT00000004733	InterPro:IPR012675,InterPro:IPR015221,InterPro:IPR016155
PLSCT00000017629	InterPro:IPR002048,InterPro:IPR011992,InterPro:IPR018247
PLSCT00000006807	InterPro:IPR000719,InterPro:IPR008271,InterPro:IPR011009,InterPro:IPR011989,InterPro:IPR016024,InterPro:IPR021133
PLSCT00000019027	InterPro:IPR007005
PLSCT00000015911	InterPro:IPR020846
PLSCT00000016605	InterPro:IPR006043
PLSCT00000008076	InterPro:IPR031563
PLSCT00000015144	InterPro:IPR000967,InterPro:IPR034078
PLSCT00000011127	InterPro:IPR021825
PLSCT00000002879	InterPro:IPR011990,InterPro:IPR013026
PLSCT00000008237	InterPro:IPR000760,InterPro:IPR006239,InterPro:IPR020550,InterPro:IPR020583
PLSCT00000002173	InterPro:IPR016040
PLSCT00000020566	InterPro:IPR024661
PLSCT00000000233	InterPro:IPR000873
PLSCT00000013583	InterPro:IPR011055,InterPro:IPR016047
PLSCT00000003688	InterPro:IPR004294
PLSCT00000015593	InterPro:IPR001678,InterPro:IPR023267,InterPro:IPR029063
PLSCT00000020917	InterPro:IPR005225,InterPro:IPR006689,InterPro:IPR024156,InterPro:IPR027417
PLSCT00000004317	InterPro:IPR029058
PLSCT00000002268	InterPro:IPR001005,InterPro:IPR009057,InterPro:IPR017877
PLSCT00000016426	InterPro:IPR001098,InterPro:IPR012337
PLSCT00000004832	InterPro:IPR002524,InterPro:IPR027469
PLSCT00000006338	InterPro:IPR006746,InterPro:IPR033464
PLSCT00000013921	InterPro:IPR000915,InterPro:IPR005568,InterPro:IPR008991,InterPro:IPR014722
PLSCT00000001914	InterPro:IPR012446
PLSCT00000017687	InterPro:IPR010547,InterPro:IPR011990
PLSCT00000016992	InterPro:IPR003029,InterPro:IPR003107,InterPro:IPR008847,InterPro:IPR011990,InterPro:IPR012340,InterPro:IPR022967
PLSCT00000013142	InterPro:IPR000210,InterPro:IPR001646,InterPro:IPR003131,InterPro:IPR011333
PLSCT00000005588	InterPro:IPR002068,InterPro:IPR008978,InterPro:IPR031107
PLSCT00000018598	InterPro:IPR002925,InterPro:IPR029058
PLSCT00000012930	InterPro:IPR006575,InterPro:IPR016135
PLSCT00000018196	InterPro:IPR014806,InterPro:IPR016135
PLSCT00000013273	InterPro:IPR019370
PLSCT00000018403	InterPro:IPR000217,InterPro:IPR002453,InterPro:IPR003008,InterPro:IPR008280,InterPro:IPR018316,InterPro:IPR023123
PLSCT00000004027	InterPro:IPR009269
PLSCT00000013310	InterPro:IPR029058
PLSCT00000001404	InterPro:IPR007471,InterPro:IPR017137,InterPro:IPR030700
PLSCT00000009962	InterPro:IPR000823,InterPro:IPR002016,InterPro:IPR010255,InterPro:IPR019793,InterPro:IPR033905
PLSCT00000017500	InterPro:IPR002143,InterPro:IPR016094,InterPro:IPR016095,InterPro:IPR023674,InterPro:IPR028364
PLSCT00000017682	InterPro:IPR029058
PLSCT00000014586	InterPro:IPR006843
PLSCT00000017562	InterPro:IPR001680,InterPro:IPR015943,InterPro:IPR017986,InterPro:IPR019775
PLSCT00000012923	InterPro:IPR000306,InterPro:IPR000409,InterPro:IPR001680,InterPro:IPR011011,InterPro:IPR011993,InterPro:IPR013083,InterPro:IPR013320,InterPro:IPR015943,InterPro:IPR016024,InterPro:IPR017455,InterPro:IPR017986,InterPro:IPR019775,InterPro:IPR023362
PLSCT00000004178	InterPro:IPR000795,InterPro:IPR004160,InterPro:IPR004161,InterPro:IPR004539,InterPro:IPR009000,InterPro:IPR009001,InterPro:IPR027417,InterPro:IPR031157
PLSCT00000019035	InterPro:IPR001806,InterPro:IPR027417
PLSCT00000013203	InterPro:IPR005202,InterPro:IPR030027
PLSCT00000014818	InterPro:IPR012336,InterPro:IPR020683,InterPro:IPR026961
PLSCT00000018093	InterPro:IPR004000,InterPro:IPR027667
PLSCT00000002503	InterPro:IPR001680,InterPro:IPR015943,InterPro:IPR017986
PLSCT00000001644	InterPro:IPR004843,InterPro:IPR006186,InterPro:IPR029052
PLSCT00000014258	InterPro:IPR013935
PLSCT00000002412	InterPro:IPR001509,InterPro:IPR016040,InterPro:IPR033267
PLSCT00000004398	InterPro:IPR000916,InterPro:IPR023393
